timestamp,box_uid,box_title,prev_status,new_status,reason
2026-01-08T10:38:32,box_1870504657248,Agilent GC,UNKNOWN,GREEN,System nominal
2026-01-08T10:38:32,box_1870504657248,Agilent GC,UNKNOWN,GREEN,System nominal
2026-01-08T10:38:32,box_1870507241056,Multitek NS,UNKNOWN,GREEN,System nominal
2026-01-08T10:38:32,box_1870507241056,Multitek NS,UNKNOWN,GREEN,System nominal
2026-01-08T10:38:32,box_1870507241920,Eraspec,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:38:33,box_1870507241920,Eraspec,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:38:33,box_2201765855296,PAC Flash 2,UNKNOWN,GREEN,System nominal
2026-01-08T10:38:33,box_2201765855296,PAC Flash 2,UNKNOWN,GREEN,System nominal
2026-01-08T10:38:33,box_1840573737440,Auto Grabner,UNKNOWN,GREEN,System nominal
2026-01-08T10:38:33,box_1840573737440,Auto Grabner,UNKNOWN,GREEN,System nominal
2026-01-08T10:38:33,box_1840573738448,Mini Grabner,UNKNOWN,GREEN,System nominal
2026-01-08T10:38:33,box_1840573738448,Mini Grabner,UNKNOWN,GREEN,System nominal
2026-01-08T10:38:33,box_1840573733840,Multitek S,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:38:33,box_1840573733840,Multitek S,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:38:33,box_2096856031904,PAC Flash 1,UNKNOWN,GREEN,System nominal
2026-01-08T10:38:33,box_2096856031904,PAC Flash 1,UNKNOWN,GREEN,System nominal
2026-01-08T10:38:33,box_2301728638432,Viscocity,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:38:33,box_2301728638432,Viscocity,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:38:33,box_2301728342368,Handheld API,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:38:33,box_2301728342368,Handheld API,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:38:33,box_1834023730592,AQUAMAX KF,UNKNOWN,GREEN,System nominal
2026-01-08T10:38:33,box_1834023730592,AQUAMAX KF,UNKNOWN,GREEN,System nominal
2026-01-08T10:38:34,box_1765996407293,Eraspec NIR,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:38:34,box_1765996407293,Eraspec NIR,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:39:52,box_1870504657248,Agilent GC,UNKNOWN,GREEN,System nominal
2026-01-08T10:39:52,box_1870504657248,Agilent GC,UNKNOWN,GREEN,System nominal
2026-01-08T10:39:52,box_1870507241056,Multitek NS,UNKNOWN,GREEN,System nominal
2026-01-08T10:39:52,box_1870507241056,Multitek NS,UNKNOWN,GREEN,System nominal
2026-01-08T10:39:52,box_1870507241920,Eraspec,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:39:52,box_1870507241920,Eraspec,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:39:53,box_2201765855296,PAC Flash 2,UNKNOWN,GREEN,System nominal
2026-01-08T10:39:53,box_2201765855296,PAC Flash 2,UNKNOWN,GREEN,System nominal
2026-01-08T10:39:53,box_1840573737440,Auto Grabner,UNKNOWN,GREEN,System nominal
2026-01-08T10:39:53,box_1840573737440,Auto Grabner,UNKNOWN,GREEN,System nominal
2026-01-08T10:39:53,box_1840573738448,Mini Grabner,UNKNOWN,GREEN,System nominal
2026-01-08T10:39:53,box_1840573738448,Mini Grabner,UNKNOWN,GREEN,System nominal
2026-01-08T10:39:53,box_1840573733840,Multitek S,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:39:53,box_1840573733840,Multitek S,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:39:53,box_2096856031904,PAC Flash 1,UNKNOWN,GREEN,System nominal
2026-01-08T10:39:53,box_2096856031904,PAC Flash 1,UNKNOWN,GREEN,System nominal
2026-01-08T10:39:53,box_2301728638432,Viscocity,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:39:53,box_2301728638432,Viscocity,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:39:53,box_2301728342368,Handheld API,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:39:53,box_2301728342368,Handheld API,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:39:53,box_1834023730592,AQUAMAX KF,UNKNOWN,GREEN,System nominal
2026-01-08T10:39:53,box_1834023730592,AQUAMAX KF,UNKNOWN,GREEN,System nominal
2026-01-08T10:39:54,box_1765996407293,Eraspec NIR,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:39:54,box_1765996407293,Eraspec NIR,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:40:16,box_1870504657248,Agilent GC,UNKNOWN,GREEN,System nominal
2026-01-08T10:40:16,box_1870504657248,Agilent GC,UNKNOWN,GREEN,System nominal
2026-01-08T10:40:16,box_1870507241056,Multitek NS,UNKNOWN,GREEN,System nominal
2026-01-08T10:40:16,box_1870507241056,Multitek NS,UNKNOWN,GREEN,System nominal
2026-01-08T10:40:16,box_1870507241920,Eraspec,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:40:16,box_1870507241920,Eraspec,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:40:16,box_2201765855296,PAC Flash 2,UNKNOWN,GREEN,System nominal
2026-01-08T10:40:16,box_2201765855296,PAC Flash 2,UNKNOWN,GREEN,System nominal
2026-01-08T10:40:17,box_1840573737440,Auto Grabner,UNKNOWN,GREEN,System nominal
2026-01-08T10:40:17,box_1840573737440,Auto Grabner,UNKNOWN,GREEN,System nominal
2026-01-08T10:40:17,box_1840573738448,Mini Grabner,UNKNOWN,GREEN,System nominal
2026-01-08T10:40:17,box_1840573738448,Mini Grabner,UNKNOWN,GREEN,System nominal
2026-01-08T10:40:17,box_1840573733840,Multitek S,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:40:17,box_1840573733840,Multitek S,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:40:17,box_2096856031904,PAC Flash 1,UNKNOWN,GREEN,System nominal
2026-01-08T10:40:17,box_2096856031904,PAC Flash 1,UNKNOWN,GREEN,System nominal
2026-01-08T10:40:17,box_2301728638432,Viscocity,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:40:17,box_2301728638432,Viscocity,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:40:17,box_2301728342368,Handheld API,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:40:17,box_2301728342368,Handheld API,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:40:17,box_1834023730592,AQUAMAX KF,UNKNOWN,GREEN,System nominal
2026-01-08T10:40:17,box_1834023730592,AQUAMAX KF,UNKNOWN,GREEN,System nominal
2026-01-08T10:40:17,box_1765996407293,Eraspec NIR,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:40:17,box_1765996407293,Eraspec NIR,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:40:43,box_1870504657248,Agilent GC,UNKNOWN,GREEN,System nominal
2026-01-08T10:40:43,box_1870504657248,Agilent GC,UNKNOWN,GREEN,System nominal
2026-01-08T10:40:43,box_1870507241056,Multitek NS,UNKNOWN,GREEN,System nominal
2026-01-08T10:40:43,box_1870507241056,Multitek NS,UNKNOWN,GREEN,System nominal
2026-01-08T10:40:43,box_1870507241920,Eraspec,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:40:43,box_1870507241920,Eraspec,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:40:44,box_2201765855296,PAC Flash 2,UNKNOWN,GREEN,System nominal
2026-01-08T10:40:44,box_2201765855296,PAC Flash 2,UNKNOWN,GREEN,System nominal
2026-01-08T10:40:44,box_1840573737440,Auto Grabner,UNKNOWN,GREEN,System nominal
2026-01-08T10:40:44,box_1840573737440,Auto Grabner,UNKNOWN,GREEN,System nominal
2026-01-08T10:40:44,box_1840573738448,Mini Grabner,UNKNOWN,GREEN,System nominal
2026-01-08T10:40:44,box_1840573738448,Mini Grabner,UNKNOWN,GREEN,System nominal
2026-01-08T10:40:44,box_1840573733840,Multitek S,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:40:44,box_1840573733840,Multitek S,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:40:44,box_2096856031904,PAC Flash 1,UNKNOWN,GREEN,System nominal
2026-01-08T10:40:44,box_2096856031904,PAC Flash 1,UNKNOWN,GREEN,System nominal
2026-01-08T10:40:44,box_2301728638432,Viscocity,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:40:44,box_2301728638432,Viscocity,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:40:44,box_2301728342368,Handheld API,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:40:44,box_2301728342368,Handheld API,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:40:44,box_1834023730592,AQUAMAX KF,UNKNOWN,GREEN,System nominal
2026-01-08T10:40:44,box_1834023730592,AQUAMAX KF,UNKNOWN,GREEN,System nominal
2026-01-08T10:40:44,box_1765996407293,Eraspec NIR,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:40:45,box_1765996407293,Eraspec NIR,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:56:13,box_1870504657248,Agilent GC,UNKNOWN,GREEN,System nominal
2026-01-08T10:56:13,box_1870507241056,Multitek NS,UNKNOWN,GREEN,System nominal
2026-01-08T10:56:13,box_1870507241056,Multitek NS,UNKNOWN,GREEN,System nominal
2026-01-08T10:56:14,box_1870507241920,Eraspec,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:56:14,box_1870507241920,Eraspec,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:56:14,box_2201765855296,PAC Flash 2,UNKNOWN,GREEN,System nominal
2026-01-08T10:56:14,box_2201765855296,PAC Flash 2,UNKNOWN,GREEN,System nominal
2026-01-08T10:56:14,box_1840573737440,Auto Grabner,UNKNOWN,GREEN,System nominal
2026-01-08T10:56:14,box_1840573737440,Auto Grabner,UNKNOWN,GREEN,System nominal
2026-01-08T10:56:14,box_1840573738448,Mini Grabner,UNKNOWN,GREEN,System nominal
2026-01-08T10:56:14,box_1840573738448,Mini Grabner,UNKNOWN,GREEN,System nominal
2026-01-08T10:56:14,box_1840573733840,Multitek S,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:56:14,box_1840573733840,Multitek S,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:56:14,box_2096856031904,PAC Flash 1,UNKNOWN,GREEN,System nominal
2026-01-08T10:56:14,box_2096856031904,PAC Flash 1,UNKNOWN,GREEN,System nominal
2026-01-08T10:56:14,box_2301728638432,Viscocity,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:56:14,box_2301728638432,Viscocity,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:56:14,box_2301728342368,Handheld API,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:56:14,box_2301728342368,Handheld API,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:56:15,box_1834023730592,AQUAMAX KF,UNKNOWN,GREEN,System nominal
2026-01-08T10:56:15,box_1834023730592,AQUAMAX KF,UNKNOWN,GREEN,System nominal
2026-01-08T10:56:15,box_1765996407293,Eraspec NIR,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:56:15,box_1765996407293,Eraspec NIR,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T10:57:15,box_2301728638432,Viscocity,YELLOW,RED,"Critical issues in: QC, TESTING"
2026-01-08T10:57:15,box_2301728638432,Viscocity,YELLOW,RED,"Critical issues in: QC, TESTING"
2026-01-08T10:58:16,box_2301728638432,Viscocity,RED,GREEN,System nominal
2026-01-08T11:13:53,box_2301728638432,Viscocity,GREEN,UNKNOWN,"Missing data for: QC, TESTING"
2026-01-08T11:20:34,box_1870504657248,Agilent GC,GREEN,YELLOW,Warnings in: PM
2026-01-08T11:20:39,box_1870504657248,Agilent GC,YELLOW,GREEN,System nominal
2026-01-08T11:24:49,box_1870504657248,Agilent GC,UNKNOWN,GREEN,System nominal
2026-01-08T11:24:49,box_1870504657248,Agilent GC,UNKNOWN,GREEN,System nominal
2026-01-08T11:24:49,box_1870507241056,Multitek NS,UNKNOWN,GREEN,System nominal
2026-01-08T11:24:49,box_1870507241056,Multitek NS,UNKNOWN,GREEN,System nominal
2026-01-08T11:24:50,box_1870507241920,Eraspec,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T11:24:50,box_1870507241920,Eraspec,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T11:24:50,box_2201765855296,PAC Flash 2,UNKNOWN,GREEN,System nominal
2026-01-08T11:24:50,box_2201765855296,PAC Flash 2,UNKNOWN,GREEN,System nominal
2026-01-08T11:24:50,box_1840573737440,Auto Grabner,UNKNOWN,GREEN,System nominal
2026-01-08T11:24:50,box_1840573737440,Auto Grabner,UNKNOWN,GREEN,System nominal
2026-01-08T11:24:50,box_1840573738448,Mini Grabner,UNKNOWN,GREEN,System nominal
2026-01-08T11:24:50,box_1840573738448,Mini Grabner,UNKNOWN,GREEN,System nominal
2026-01-08T11:24:50,box_1840573733840,Multitek S,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T11:24:50,box_1840573733840,Multitek S,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T11:24:50,box_2096856031904,PAC Flash 1,UNKNOWN,GREEN,System nominal
2026-01-08T11:24:50,box_2096856031904,PAC Flash 1,UNKNOWN,GREEN,System nominal
2026-01-08T11:24:50,box_2301728342368,Handheld API,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T11:24:50,box_2301728342368,Handheld API,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T11:24:50,box_1834023730592,AQUAMAX KF,UNKNOWN,GREEN,System nominal
2026-01-08T11:24:50,box_1834023730592,AQUAMAX KF,UNKNOWN,GREEN,System nominal
2026-01-08T11:24:51,box_1765996407293,Eraspec NIR,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T11:24:51,box_1765996407293,Eraspec NIR,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T11:31:12,box_2301728638432,Viscosity,UNKNOWN,GREEN,System nominal
2026-01-08T11:32:54,box_2301728638432,Viscosity,GREEN,RED,"Critical issues in: QC, TESTING"

2026-01-08T11:33:44,box_2301728638432,Viscosity,RED,GREEN,System nominal
2026-01-08T11:33:54,box_2301728638432,Viscocity,RED,GREEN,System nominal
2026-01-08T11:36:03,box_1870504657248,Agilent GC,UNKNOWN,GREEN,System nominal
2026-01-08T11:36:03,box_1870507241056,Multitek NS,UNKNOWN,GREEN,System nominal
2026-01-08T11:36:03,box_1870507241920,Eraspec,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T11:36:04,box_2201765855296,PAC Flash 2,UNKNOWN,GREEN,System nominal
2026-01-08T11:36:04,box_1840573737440,Auto Grabner,UNKNOWN,GREEN,System nominal
2026-01-08T11:36:04,box_1840573738448,Mini Grabner,UNKNOWN,GREEN,System nominal
2026-01-08T11:36:04,box_1840573733840,Multitek S,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T11:36:04,box_2096856031904,PAC Flash 1,UNKNOWN,GREEN,System nominal
2026-01-08T11:36:04,box_2301728638432,Viscosity,UNKNOWN,GREEN,System nominal
2026-01-08T11:36:04,box_2301728342368,Handheld API,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T11:36:04,box_1834023730592,AQUAMAX KF,UNKNOWN,GREEN,System nominal
2026-01-08T11:36:04,box_1765996407293,Eraspec NIR,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T11:36:07,box_1870504657248,Agilent GC,UNKNOWN,GREEN,System nominal
2026-01-08T11:36:08,box_1870507241056,Multitek NS,UNKNOWN,GREEN,System nominal
2026-01-08T11:36:08,box_1870507241920,Eraspec,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T11:36:08,box_2201765855296,PAC Flash 2,UNKNOWN,GREEN,System nominal
2026-01-08T11:36:08,box_1840573737440,Auto Grabner,UNKNOWN,GREEN,System nominal
2026-01-08T11:36:08,box_1840573738448,Mini Grabner,UNKNOWN,GREEN,System nominal
2026-01-08T11:36:08,box_1840573733840,Multitek S,UNKNOWN,YELLOW,Warnings in: QC
2026-01-08T11:36:08,box_2096856031904,PAC Flash 1,UNKNOWN,GREEN,System nominal
2026-01-08T11:36:09,box_2301728638432,Viscosity,UNKNOWN,GREEN,System nominal
2026-01-08T11:36:09,box_2301728342368,Handheld API,UNKNOWN,YELLOW,Warnings in: QC
