timestamp,box_uid,box_title,prev_status,new_status,reason
2026-01-06T09:34:35,box_1765996407293,Eraspec NIR,YELLOW,RED,At least one watched test is out of spec or missing.
2026-01-06T09:52:11,box_1765996407293,Eraspec NIR,RED,UNKNOWN,Insufficient data for one or more tests.
2026-01-06T09:52:53,box_1870507241920,Eraspec,RED,UNKNOWN,Insufficient data for one or more tests.
2026-01-06T09:55:43,box_1765996407293,Eraspec NIR,UNKNOWN,RED,At least one watched test is out of spec or missing.
2026-01-06T09:56:43,box_1870507241920,Eraspec,UNKNOWN,RED,At least one watched test is out of spec or missing.
2026-01-06T09:57:44,box_1765996407293,Eraspec NIR,RED,GREEN,All watched tests are within expected ranges.
2026-01-06T09:59:45,box_1870507241920,Eraspec,RED,GREEN,All watched tests are within expected ranges.
2026-01-06T13:06:05,box_1870504657248,Agilent GC,UNKNOWN,YELLOW,Last in-spec QC is stale (cached).
2026-01-06T13:06:06,box_1870507241056,Multitek NS,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T13:06:06,box_1870507241920,Eraspec,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T13:06:06,box_2201765855296,PAC Flash 2,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T13:06:06,box_1840573737440,Auto Grabner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T13:06:06,box_1840573738448,Mini Grabner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T13:06:06,box_1840573733840,Multitek S,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T13:06:06,box_2096856031904,PAC Flash 1,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T13:06:06,box_2301728638432,Viscocity,UNKNOWN,YELLOW,Last in-spec QC is stale.
2026-01-06T13:06:06,box_2301728342368,Handheld API,UNKNOWN,YELLOW,Last in-spec QC is stale.
2026-01-06T13:06:06,box_1765996407293,Eraspec NIR,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T13:54:27,box_1870504657248,Agilent GC,UNKNOWN,YELLOW,Last in-spec QC is stale (cached).
2026-01-06T13:54:27,box_1870507241056,Multitek NS,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T13:54:27,box_1870507241920,Eraspec,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T13:54:27,box_2201765855296,PAC Flash 2,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T13:54:27,box_1840573737440,Auto Grabner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T13:54:27,box_1840573738448,Mini Grabner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T13:54:27,box_1840573733840,Multitek S,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T13:54:27,box_2096856031904,PAC Flash 1,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T13:54:27,box_2301728638432,Viscocity,UNKNOWN,YELLOW,Last in-spec QC is stale.
2026-01-06T13:54:27,box_2301728342368,Handheld API,UNKNOWN,YELLOW,Last in-spec QC is stale.
2026-01-06T13:54:27,box_1765996407293,Eraspec NIR,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T14:40:09,box_1870504657248,Agilent GC,UNKNOWN,YELLOW,Last in-spec QC is stale (cached).
2026-01-06T14:40:09,box_1870507241056,Multitek NS,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T14:40:09,box_1870507241920,Eraspec,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T14:40:09,box_2201765855296,PAC Flash 2,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T14:40:09,box_1840573737440,Auto Grabner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T14:40:09,box_1840573738448,Mini Grabner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T14:40:09,box_1840573733840,Multitek S,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T14:40:09,box_2096856031904,PAC Flash 1,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T14:40:09,box_2301728638432,Viscocity,UNKNOWN,YELLOW,Last in-spec QC is stale.
2026-01-06T14:40:09,box_2301728342368,Handheld API,UNKNOWN,YELLOW,Last in-spec QC is stale.
2026-01-06T14:40:09,box_1765996407293,Eraspec NIR,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T15:06:55,box_1870504657248,Agilent GC,UNKNOWN,YELLOW,Last in-spec QC is stale (cached).
2026-01-06T15:06:55,box_1870507241056,Multitek NS,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T15:06:55,box_1870507241920,Eraspec,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T15:06:55,box_2201765855296,PAC Flash 2,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T15:06:56,box_1840573737440,Auto Grabner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T15:06:56,box_1840573738448,Mini Grabner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T15:06:56,box_1840573733840,Multitek S,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T15:06:56,box_2096856031904,PAC Flash 1,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T15:06:56,box_2301728638432,Viscocity,UNKNOWN,YELLOW,Last in-spec QC is stale.
2026-01-06T15:06:56,box_2301728342368,Handheld API,UNKNOWN,YELLOW,Last in-spec QC is stale.
2026-01-06T15:06:56,box_1765996407293,Eraspec NIR,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T15:18:44,box_1870504657248,Agilent GC,UNKNOWN,YELLOW,Last in-spec QC is stale (cached).
2026-01-06T15:18:44,box_1870507241056,Multitek NS,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T15:18:44,box_1870507241920,Eraspec,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T15:18:44,box_2201765855296,PAC Flash 2,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T15:18:44,box_1840573737440,Auto Grabner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T15:18:44,box_1840573738448,Mini Grabner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T15:18:44,box_1840573733840,Multitek S,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T15:18:44,box_2096856031904,PAC Flash 1,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T15:18:44,box_2301728638432,Viscocity,UNKNOWN,YELLOW,Last in-spec QC is stale.
2026-01-06T15:18:44,box_2301728342368,Handheld API,UNKNOWN,YELLOW,Last in-spec QC is stale.
2026-01-06T15:18:44,box_1765996407293,Eraspec NIR,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T16:13:56,box_1870504657248,Agilent GC,UNKNOWN,YELLOW,Last in-spec QC is stale (cached).
2026-01-06T16:13:56,box_1870507241056,Multitek NS,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T16:13:56,box_1870507241920,Eraspec,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T16:13:57,box_2201765855296,PAC Flash 2,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T16:13:57,box_1840573737440,Auto Grabner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T16:13:57,box_1840573738448,Mini Grabner,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T16:13:57,box_1840573733840,Multitek S,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T16:13:57,box_2096856031904,PAC Flash 1,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T16:13:57,box_2301728638432,Viscocity,UNKNOWN,YELLOW,Last in-spec QC is stale.
2026-01-06T16:13:57,box_2301728342368,Handheld API,UNKNOWN,YELLOW,Last in-spec QC is stale.
2026-01-06T16:13:57,box_1765996407293,Eraspec NIR,UNKNOWN,GREEN,All watched tests are within expected ranges.
2026-01-06T16:24:06,box_1870504657248,Agilent GC,UNKNOWN,YELLOW,Last in-spec QC is stale (cached).
2026-01-06T16:24:06,box_1870507241056,Multitek NS,UNKNOWN,GREEN,System nominal
2026-01-06T16:24:06,box_1870507241920,Eraspec,UNKNOWN,GREEN,System nominal
2026-01-06T16:24:06,box_2201765855296,PAC Flash 2,UNKNOWN,GREEN,System nominal
2026-01-06T16:24:06,box_1840573737440,Auto Grabner,UNKNOWN,GREEN,System nominal
2026-01-06T16:24:06,box_1840573738448,Mini Grabner,UNKNOWN,GREEN,System nominal
2026-01-06T16:24:06,box_1840573733840,Multitek S,UNKNOWN,GREEN,System nominal
2026-01-06T16:24:06,box_2096856031904,PAC Flash 1,UNKNOWN,GREEN,System nominal
2026-01-06T16:24:06,box_2301728638432,Viscocity,UNKNOWN,YELLOW,Warnings in: QC
2026-01-06T16:24:06,box_2301728342368,Handheld API,UNKNOWN,YELLOW,Warnings in: QC
2026-01-06T16:24:07,box_1765996407293,Eraspec NIR,UNKNOWN,GREEN,System nominal
2026-01-07T00:00:30,box_1870507241920,Eraspec,GREEN,YELLOW,Warnings in: PM
2026-01-07T08:21:07,box_2096856031904,PAC Flash 1,GREEN,YELLOW,Warnings in: QC
2026-01-07T08:23:08,box_2201765855296,PAC Flash 2,GREEN,YELLOW,Warnings in: QC
2026-01-07T08:31:10,box_1840573737440,Auto Grabner,GREEN,YELLOW,Warnings in: QC
2026-01-07T08:34:12,box_2096856031904,PAC Flash 1,YELLOW,GREEN,System nominal
