Box Title,Box UID,Box Status,Override,CSV Path,QC Expiry (h),Last In-Spec QC / Fallback,Latest Match Time,Reason,Used Parsed Time,Sample,Test Name,Expected,k*StdDev,Low,High,Latest Value,Timestamp Source,In Spec,Units
Agilent GC,box_1870504657248,YELLOW,,//asapserver/Labsharedrive/ASAP Lab Results/GC Results/Parsed/Gas Chromatograph_parsed.csv,24.00,2025-11-15 14:58:53,2025-11-15 14:58:53,Last in-spec QC is stale.,YES,AJ24,90% - D86,328.16,3.2,324.96,331.36,325.58,parsed,YES,C
Multitek NS,box_1870507241056,RED,,//asapserver/Labsharedrive/ASAP Lab Results/Sulfur Results/Multitek NS/Parsed Data/Multitek NS_parsed.csv,24.00,,2025-11-12 18:13:57,At least one watched test is out of spec or missing.,YES,AJ24,Sulfur - D5453,7.16,1.06,6.1,8.22,5.969,parsed,NO,mg/kg
Eraspec,box_1870507241920,RED,,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,2025-11-17 17:00:06,At least one watched test is out of spec or missing.,YES,AJ24,API Gravity D4052-22,37.23,0.12,37.11,37.35,0.84,parsed,NO,API
Eraspec,box_1870507241920,RED,,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,2025-11-17 17:00:06,At least one watched test is out of spec or missing.,YES,AJ24,IBP - D86,180.83,6.24,174.59,187.07,,parsed,,C
Eraspec,box_1870507241920,RED,,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,2025-11-17 17:00:06,At least one watched test is out of spec or missing.,YES,AJ24,10% - D86,211.93,2.6,209.33,214.53,,parsed,,C
Eraspec,box_1870507241920,RED,,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,2025-11-17 17:00:06,At least one watched test is out of spec or missing.,YES,AJ24,50% - D86,262.62,1.8,260.82,264.42,,parsed,,C
Eraspec,box_1870507241920,RED,,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,2025-11-17 17:00:06,At least one watched test is out of spec or missing.,YES,AJ24,90% - D86,328.16,3.2,324.96,331.36,,parsed,,C
Eraspec,box_1870507241920,RED,,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,2025-11-17 17:00:06,At least one watched test is out of spec or missing.,YES,AJ24,FBP - D86,357.46,5.52,351.94,362.98,,parsed,,C
Eraspec,box_1870507241920,RED,,//asapserver/Labsharedrive/ASAP Lab Results/Eraspec/Eraspec_parsed.csv,24.00,,2025-11-17 17:00:06,At least one watched test is out of spec or missing.,YES,SetaCheck 5%,Bio - D7371,5,0.5,4.5,5.5,,,,%
PAC Flash 2,box_2201765855296,GREEN,,//asapserver/Labsharedrive/ASAP Lab Results/Flash Results/Optiflash 2/Pac Flash 2_parsed.csv,24.00,2025-11-17 08:50:35,2025-11-17 08:50:35,All watched tests are within expected ranges.,YES,AJ24,Flash - D3828,72.27,2.24,70.03,74.51,72,parsed,YES,C
