timestamp,box_uid,task_name,action_type,user,notes,next_due
2026-01-08T11:20:34,box_1870504657248,IQT values,STARTED,ryan,,
2026-01-12T17:29:42,box_1870504657248,IQT values,DELETED,ryan,,
